game,day,memory.max,memory.total,memory.used,memory.free
0,0,+1011200.000,+83008.000,+10136.000,+72872.000
0,1,+1011200.000,+83200.000,+10816.000,+72384.000
0,2,+1011200.000,+83200.000,+12502.000,+70698.000
0,3,+1011200.000,+83200.000,+11328.000,+71872.000
0,4,+1011200.000,+83200.000,+11515.000,+71685.000
0,5,+1011200.000,+83200.000,+11777.000,+71423.000
0,6,+1011200.000,+83200.000,+12047.000,+71153.000
0,7,+1011200.000,+83200.000,+12041.000,+71159.000
0,8,+1011200.000,+83392.000,+12308.000,+71084.000
0,9,+1011200.000,+83392.000,+12665.000,+70727.000
